covariate,smd_all,smd_matched,bs_id
tree_cover,0.28864155460607,0.0687954542087611,b19
forest_type,0.312772033296097,0.0743143477300696,b19
ppt,1.38111523998547,0.12409715803658,b19
dist_flowline,0.0830887213375098,0.0169057971164193,b19
density_flowline,0.727297636343623,0.0563074549963358,b19
wet_freq_z,0.260128283084321,0.0235755486073486,b19
wet_sev_z,0.89275960264075,0.00217083690200535,b19
wet_freq,0.318377701035673,0.0763932567627091,b19
tmax_z,0.173049254585994,0.00906560399206829,b19
spei_freq,0.588655122298468,0.00220600479512432,b19
insect_defo,0.039236728659608,0.00640560059729588,b19
insect_mort,0.0377210324404072,0.0214212034304394,b19
hurr_ws,0,0,b19
regionatlantic,0.0949431497898613,0.0251298980814186,b19
regionlakes,0.930536524061593,0.0240445146360305,b19
regionpacific,1.67958836093453,0.0947125328396745,b19
tpa_live,0.470458672853224,0.000374256348520823,b19
distance,1.08885817320244,0.0017995884535016,b20
tree_cover,0.30832222055342,0.0827167297794082,b20
forest_type,0.312126759202331,0.047991636373072,b20
ppt,1.29906281593117,0.138063260475798,b20
dist_flowline,0.0984300787379119,0.0218497960853456,b20
density_flowline,0.715733671406093,0.0430067810505957,b20
wet_freq_z,0.275003343235479,0.0259205210233065,b20
wet_sev_z,0.885045037419763,0.0102101962817166,b20
wet_freq,0.297359939345792,0.0891744460217384,b20
tmax_z,0.164416743338378,0.0322357763800127,b20
spei_freq,0.566043501786002,0.00771624857404789,b20
insect_defo,0.0656809340384032,0.00167248986409797,b20
insect_mort,0.0333589442448793,0.0112786921264506,b20
hurr_ws,0,0,b20
regionatlantic,0.0984797145975966,0.0241424064900995,b20
regionlakes,0.928627309401062,0.017689819322798,b20
regionpacific,1.65447789296233,0.0794261677049847,b20
tpa_live,0.449112896711427,0.035576328300454,b20
distance,1.1090896583691,0.00180278861760089,b21
tree_cover,0.285739158551719,0.0674390937702942,b21
forest_type,0.291118036308458,0.0604791383706241,b21
ppt,1.39748443313977,0.127575147495744,b21
dist_flowline,0.0825294833644586,0.00108557053422898,b21
density_flowline,0.724064063390008,0.0451933482259678,b21
wet_freq_z,0.267862691198401,0.0573374111367656,b21
wet_sev_z,0.912778881509623,0.0113609024694653,b21
wet_freq,0.320166768927529,0.0711404351381953,b21
tmax_z,0.184003576888258,0.0209952361867433,b21
spei_freq,0.582425367794908,0.00111821495476626,b21
insect_defo,0.0314802314692512,0.000266065619684531,b21
